molecule_chembl_id,canonical_smiles,standard_value,class,standardized_smiles,MolWt,LogP,TPSA,HBD,HBA,RotB,RingCount,AromaticRingCount,FractionCSP3,HeavyAtomCount,HeteroAtomCount,HasPyridine,HasPyrimidine,MurckoScaffold,MW_norm,TPSA_norm,LogP_norm,SP3_norm
CHEMBL68920,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,41.0,active,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,383.814,4.450340000000002,82.69999999999999,3,4,3,4,3,0.10526315789473684,27,8,0,1,O=C1Nc2ncnc(Nc3ccccc3)c2C1=Cc1ccc[nH]1,0.42646,0.2756666666666666,0.9450340000000003,0.10526315789473684
CHEMBL69960,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,170.0,active,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,482.9030000000001,3.614320000000001,112.24,3,6,4,5,3,0.21739130434782608,34,11,0,1,O=C1Nc2ncnc(Nc3ccccc3)c2C1=Cc1ccc(C(=O)N2CCOCC2)[nH]1,0.536558888888889,0.3741333333333333,0.8614320000000001,0.21739130434782608
CHEMBL137635,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,9300.0,intermediate,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,369.43200000000013,4.772000000000004,78.66000000000001,1,6,6,4,4,0.09523809523809523,28,7,1,1,c1ccc(Nc2ncnc3ccc(NN=NCc4ccccn4)cc23)cc1,0.4104800000000001,0.26220000000000004,0.9772000000000004,0.09523809523809523
CHEMBL306988,CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,500000.0,inactive,CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,283.287,2.3105600000000006,113.98,2,4,5,1,1,0.2,21,6,0,0,c1ccccc1,0.3147633333333333,0.37993333333333335,0.731056,0.2
CHEMBL66879,O=C(O)/C=C/c1ccc(O)cc1,3000000.0,inactive,O=C(O)/C=C/c1ccc(O)cc1,164.16,1.49,57.53,2,2,2,1,1,0.0,12,3,0,0,c1ccccc1,0.1824,0.19176666666666667,0.649,0.0
CHEMBL77085,N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],96000.0,inactive,N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],215.16799999999998,1.73096,110.95000000000002,1,5,2,1,1,0.0,16,6,0,0,c1ccccc1,0.23907555555555554,0.3698333333333334,0.6730959999999999,0.0
CHEMBL443268,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21,5310.0,intermediate,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21,539.9990000000001,3.228220000000002,115.48,3,7,7,5,3,0.3076923076923077,38,12,0,1,O=C1Nc2ncnc(Nc3ccccc3)c2C1=Cc1ccc(C(=O)NCCN2CCOCC2)[nH]1,0.5999988888888891,0.38493333333333335,0.8228220000000002,0.3076923076923077
CHEMBL76979,COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O,264000.0,inactive,COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O,249.22199999999998,1.40098,99.78,2,5,4,1,1,0.16666666666666666,18,6,0,0,c1ccccc1,0.2769133333333333,0.3326,0.640098,0.16666666666666666
CHEMBL76589,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,125.0,active,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,236.234,1.55914,117.61999999999999,2,5,2,1,1,0.0,18,5,0,0,c1ccccc1,0.26248222222222223,0.3920666666666666,0.655914,0.0
CHEMBL77724,COc1cc(C=C(C#N)C#N)cc(OC)c1,1250000.0,inactive,COc1cc(C=C(C#N)C#N)cc(OC)c1,214.224,2.13436,66.03999999999999,0,4,3,1,1,0.16666666666666666,16,4,0,0,c1ccccc1,0.23802666666666666,0.22013333333333332,0.713436,0.16666666666666666
CHEMBL420385,N#CC(C#N)=Cc1ccc(N2CCOCC2)cc1,625000.0,inactive,N#CC(C#N)=Cc1ccc(N2CCOCC2)cc1,239.2779999999999,1.95376,60.05,0,4,2,2,1,0.2857142857142857,18,4,0,0,c1ccc(N2CCOCC2)cc1,0.26586444444444435,0.20016666666666666,0.695376,0.2857142857142857
CHEMBL76904,N#CC(C#N)=Cc1ccc(O)c(O)c1,35000.0,inactive,N#CC(C#N)=Cc1ccc(O)c(O)c1,186.17,1.52836,88.04,2,4,1,1,1,0.0,14,4,0,0,c1ccccc1,0.20685555555555554,0.2934666666666667,0.652836,0.0
CHEMBL1009,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,900000.0,inactive,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,197.18999999999997,0.052200000000000135,103.78000000000002,4,4,3,1,1,0.2222222222222222,14,5,0,0,c1ccccc1,0.21909999999999996,0.34593333333333337,0.50522,0.2222222222222222
CHEMBL304271,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,0.45,active,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,542.0150000000001,3.57442,135.27,5,7,10,4,3,0.3076923076923077,38,12,0,1,O=C1Nc2ncnc(Nc3ccccc3)c2C1=Cc1ccc[nH]1,0.602238888888889,0.4509,0.857442,0.3076923076923077
CHEMBL296407,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,10000.0,inactive,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,204.18499999999997,0.4900799999999999,107.34,3,4,2,1,1,0.0,15,5,0,0,c1ccccc1,0.2268722222222222,0.3578,0.5490079999999999,0.0
CHEMBL309625,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c([N+](=O)[O-])c1,60000.0,inactive,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c([N+](=O)[O-])c1,281.231,1.4673399999999999,160.76,2,7,3,1,1,0.0,21,8,0,0,c1ccccc1,0.31247888888888886,0.5358666666666666,0.646734,0.0
CHEMBL77825,COc1ccc(NN=C(C#N)C#N)cc1,600000.0,inactive,COc1ccc(NN=C(C#N)C#N)cc1,200.20100000000002,1.5102599999999997,81.19999999999999,1,5,3,1,1,0.1,15,5,0,0,c1ccccc1,0.2224455555555556,0.2706666666666666,0.651026,0.1
CHEMBL421877,COc1cc(C=C(C#N)C#N)cc(OC)c1O,850000.0,inactive,COc1cc(C=C(C#N)C#N)cc(OC)c1O,230.22299999999998,1.83996,86.27,1,5,3,1,1,0.16666666666666666,17,5,0,0,c1ccccc1,0.2558033333333333,0.28756666666666664,0.6839959999999999,0.16666666666666666
CHEMBL310798,N#CC(C#N)=Cc1cc(O)c(O)c(O)c1,3000.0,intermediate,N#CC(C#N)=Cc1cc(O)c(O)c(O)c1,202.16899999999998,1.2339599999999997,108.27000000000001,3,5,1,1,1,0.0,15,5,0,0,c1ccccc1,0.2246322222222222,0.36090000000000005,0.623396,0.0
CHEMBL135592,C/N=N/Nc1ccc2ncnc(N(C)c3ccccc3)c2c1,8000.0,intermediate,C/N=N/Nc1ccc2ncnc(N(C)c3ccccc3)c2c1,292.34600000000006,3.806600000000002,65.77,1,5,4,3,3,0.125,22,6,0,1,c1ccc(Nc2ncnc3ccccc23)cc1,0.32482888888888894,0.2192333333333333,0.8806600000000003,0.125
CHEMBL309866,N#C/C(=C\c1ccc([N+](=O)[O-])cc1)C(=O)O,1300000.0,inactive,N#C/C(=C\c1ccc([N+](=O)[O-])cc1)C(=O)O,218.16799999999998,1.5863800000000001,104.23,1,4,3,1,1,0.0,16,6,0,0,c1ccccc1,0.24240888888888887,0.34743333333333337,0.6586380000000001,0.0
CHEMBL77381,N#C/C(=C/c1ccc[nH]1)C(=O)O,1360000.0,inactive,N#C/C(=C/c1ccc[nH]1)C(=O)O,162.14799999999997,1.0062799999999998,76.88,2,2,2,1,1,0.0,12,4,0,0,c1cc[nH]c1,0.1801644444444444,0.25626666666666664,0.600628,0.0
CHEMBL76602,N#C/C(=C\c1ccc(O)cc1)C(=O)O,165000.0,inactive,N#C/C(=C\c1ccc(O)cc1)C(=O)O,189.17,1.3837799999999998,81.32,2,3,2,1,1,0.0,14,4,0,0,c1ccccc1,0.21018888888888887,0.2710666666666666,0.638378,0.0
CHEMBL77737,N#CC(C#N)=Cc1ccncc1,250000.0,inactive,N#CC(C#N)=Cc1ccncc1,155.15999999999997,1.51216,60.47,0,3,1,1,1,0.0,12,3,1,0,c1ccncc1,0.17239999999999997,0.20156666666666667,0.651216,0.0
CHEMBL76983,N#CC(C#N)=Cc1ccc(F)cc1,1250000.0,inactive,N#CC(C#N)=Cc1ccc(F)cc1,172.16199999999998,2.25626,47.58,0,2,1,1,1,0.0,13,3,0,0,c1ccccc1,0.19129111111111108,0.1586,0.725626,0.0
CHEMBL308134,N#CC(C#N)=Cc1ccc(O)c([N+](=O)[O-])c1,125000.0,inactive,N#CC(C#N)=Cc1ccc(O)c([N+](=O)[O-])c1,215.16799999999998,1.7309600000000003,110.95000000000002,1,5,2,1,1,0.0,16,6,0,0,c1ccccc1,0.23907555555555554,0.3698333333333334,0.673096,0.0
CHEMBL136491,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,14.0,active,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,326.791,4.587100000000003,65.77,1,5,4,3,3,0.125,23,7,0,1,c1ccc(Nc2ncnc3ccccc23)cc1,0.3631011111111111,0.2192333333333333,0.9587100000000003,0.125
CHEMBL77280,CC(=C(C#N)C#N)c1ccc(N)cc1,1250000.0,inactive,CC(=C(C#N)C#N)c1ccc(N)cc1,183.214,2.08946,73.6,1,3,1,1,1,0.09090909090909091,14,3,0,0,c1ccccc1,0.20357111111111112,0.24533333333333332,0.708946,0.09090909090909091
CHEMBL76557,N#CCNC(=O)/C(C#N)=C/c1ccc(O)cc1,625000.0,inactive,N#CCNC(=O)/C(C#N)=C/c1ccc(O)cc1,227.223,0.93896,96.91000000000001,2,4,3,1,1,0.08333333333333333,17,5,0,0,c1ccccc1,0.25247,0.3230333333333334,0.593896,0.08333333333333333
CHEMBL336113,Cc1cccc(Nc2ncnc3ccc(N)cc23)c1,1000.0,intermediate,Cc1cccc(Nc2ncnc3ccc(N)cc23)c1,250.30500000000004,3.2640200000000004,63.83,2,4,2,3,3,0.06666666666666667,19,4,0,1,c1ccc(Nc2ncnc3ccccc23)cc1,0.2781166666666667,0.21276666666666666,0.8264020000000001,0.06666666666666667
CHEMBL133024,C/N=N/Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,100.0,active,C/N=N/Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,312.76400000000007,4.435700000000002,74.56,2,5,4,3,3,0.06666666666666667,22,7,0,1,c1ccc(Nc2ncnc3ccccc23)cc1,0.34751555555555563,0.24853333333333333,0.9435700000000002,0.06666666666666667
CHEMBL344652,CN(C)/N=N/c1ccc2ncnc(N(C)c3ccccc3)c2c1,13350.0,inactive,CN(C)/N=N/c1ccc2ncnc(N(C)c3ccccc3)c2c1,306.373,3.958000000000003,56.980000000000004,0,5,4,3,3,0.17647058823529413,23,6,0,1,c1ccc(Nc2ncnc3ccccc23)cc1,0.3404144444444444,0.18993333333333334,0.8958000000000002,0.17647058823529413
CHEMBL77814,N#CC(C#N)=CNc1ccc(O)cc1,350000.0,inactive,N#CC(C#N)=CNc1ccc(O)cc1,185.186,1.7351599999999998,79.84,2,4,2,1,1,0.0,14,4,0,0,c1ccccc1,0.20576222222222224,0.26613333333333333,0.673516,0.0
CHEMBL47986,O=CN/C=C/c1cc(O)ccc1O,14000.0,inactive,O=CN/C=C/c1cc(O)ccc1O,179.17499999999998,0.8144999999999998,69.56,3,3,3,1,1,0.0,13,4,0,0,c1ccccc1,0.1990833333333333,0.23186666666666667,0.58145,0.0
CHEMBL138125,Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1,238.0,active,Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1,434.30100000000016,5.510200000000003,87.45,2,6,6,4,4,0.05,28,8,1,1,c1ccc(Nc2ncnc3ccc(NN=NCc4ccccn4)cc23)cc1,0.48255666666666686,0.29150000000000004,1.0510200000000003,0.05
CHEMBL137364,Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,64.0,active,Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,456.34800000000035,4.247200000000003,87.03,2,7,7,4,3,0.3,29,9,0,1,c1ccc(Nc2ncnc3ccc(NN=NCCN4CCOCC4)cc23)cc1,0.5070533333333337,0.2901,0.9247200000000003,0.3
CHEMBL308339,N#CC(C#N)=C1C(=O)NC(=O)NC1=O,1400000.0,inactive,N#CC(C#N)=C1C(=O)NC(=O)NC1=O,190.118,-1.30384,122.85,2,5,0,1,0,0.0,14,7,0,0,C=C1C(=O)NC(=O)NC1=O,0.21124222222222222,0.4095,0.369616,0.0
